@timestamp,month,year,message,1.err_type,1.Params.Timestamp,1.Params.Host,1.Desc,input_type,delay,source,3.err_type,3.Params.Interface 2,3.Params.Timestamp,3.Params.Interface 1,3.Desc,2.err_type,2.Params.Timestamp,2.Desc,5.err_type,5.Params.Timestamp,5.Params.Host,5.Desc,4.err_type,4.Params.Timestamp,4.Params.Switch,4.Desc,7.err_type,7.Params.Timestamp,7.Params.Switch,7.Desc,6.err_type,6.Params.Timestamp,6.Params.Switch,6.Desc,9.err_type,9.Params.Timestamp,9.Params.Time,9.Desc,8.err_type,8.Params.Timestamp,8.Params.Time,8.Desc,type,simulation_id,tags.0,beat.hostname,beat.name,beat.version,host,offset,day,11.err_type,11.Params.Timestamp,11.Params.Switch,11.Desc,10.err_type,10.Params.Timestamp,10.Params.Switch,10.Desc,loglevel,time,action,@version,err.err_type,err.Params.Timestamp,err.Params.Switch,err.Desc
2017-07-28T09:41:57.632Z,07,2017,"{""1"": {""err_type"": ""1"", ""Params"": {""Timestamp"": """", ""Host"": """"}, ""Desc"": ""A host is doing heavy use of the network by requiring a lot of streaming traffic ""}, ""2"": {""err_type"": ""2"", ""Params"": {""Timestamp"": ""2017-07-28 09:28:57.775559""}, ""Desc"": ""All hosts are doing heavy use of the network by requiring a lot of all sorts of traffic""}, ""3"": {""err_type"": ""3"", ""Params"": {""Interface 2"": ""s22-eth4"", ""Timestamp"": ""2017-07-28 09:40:31.580419"", ""Interface 1"": ""h1-eth1""}, ""Desc"": ""A link has failed""}, ""4"": {""err_type"": ""4"", ""Params"": {""Timestamp"": """", ""Switch"": """"}, ""Desc"": ""A switch has failed""}, ""5"": {""err_type"": ""5"", ""Params"": {""Timestamp"": """", ""Host"": """"}, ""Desc"": ""A server from the datacenter (if there are datacenters) has failed""}, ""6"": {""err_type"": ""6"", ""Params"": {""Timestamp"": """", ""Switch"": """"}, ""Desc"": ""All flows (except the CONTROLLER one) from a switch have been modified by changing the node-connector-output field""}, ""7"": {""err_type"": ""7"", ""Params"": {""Timestamp"": """", ""Switch"": """"}, ""Desc"": ""All flow entries of a switch have changed their in-port match (if they have one)""}, ""8"": {""err_type"": ""8"", ""Params"": {""Timestamp"": """", ""Time"": """"}, ""Desc"": ""An idle-timeout has been aded to the flows of all switches""}, ""9"": {""err_type"": ""9"", ""Params"": {""Timestamp"": """", ""Time"": """"}, ""Desc"": ""A hard-timeout has been aded to the flows of all switches""}, ""10"": {""err_type"": ""10"", ""Params"": {""Timestamp"": """", ""Switch"": """"}, ""Desc"": ""All flow entries (except one, the statistics flow entry) of a switch have been deleted""}, ""11"": {""err_type"": ""11"", ""Params"": {""Timestamp"": """", ""Switch"": """"}, ""Desc"": ""All lldp packages reaching this switch will be dropped""}, ""delay"": 3}",1,,,A host is doing heavy use of the network by requiring a lot of streaming traffic ,log,3,/root/log/2017728918_2.log,3,s22-eth4,2017-07-28 09:40:31.580419,h1-eth1,A link has failed,2,2017-07-28 09:28:57.775559,All hosts are doing heavy use of the network by requiring a lot of all sorts of traffic,5,,,A server from the datacenter (if there are datacenters) has failed,4,,,A switch has failed,7,,,All flow entries of a switch have changed their in-port match (if they have one),6,,,All flows (except the CONTROLLER one) from a switch have been modified by changing the node-connector-output field,9,,,A hard-timeout has been aded to the flows of all switches,8,,,An idle-timeout has been aded to the flows of all switches,log,2017728941_4,beats_input_codec_plain_applied,cbdd7784b2d2,cbdd7784b2d2,5.4.1,cbdd7784b2d2,30801,28,11,,,All lldp packages reaching this switch will be dropped,10,,,"All flow entries (except one, the statistics flow entry) of a switch have been deleted",INFO,"09:41:49,304",start,1,,,,
2017-07-28T09:42:35.018Z,07,2017,"{""err"": {""err_type"": ""4"", ""Params"": {""Timestamp"": ""2017-07-28 09:42:32.882240"", ""Switch"": ""65""}, ""Desc"": ""A switch has failed""}}",,,,,log,,/root/log/2017728941_4.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,log,2017728941_4,beats_input_codec_plain_applied,cbdd7784b2d2,cbdd7784b2d2,5.4.1,cbdd7784b2d2,2247,28,,,,,,,,,INFO,"09:42:32,882",err,1,4,2017-07-28 09:42:32.882240,65,A switch has failed
2017-07-28T09:42:36.627Z,07,2017,"{""err"": {""err_type"": ""4"", ""Params"": {""Timestamp"": ""2017-07-28 09:42:32.882240"", ""Switch"": ""65""}, ""Desc"": ""A switch has failed""}}",,,,,log,,/root/log/2017728930_3.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,log,2017728941_4,beats_input_codec_plain_applied,cbdd7784b2d2,cbdd7784b2d2,5.4.1,cbdd7784b2d2,28035,28,,,,,,,,,INFO,"09:42:32,882",err,1,4,2017-07-28 09:42:32.882240,65,A switch has failed
2017-07-28T09:42:22.633Z,07,2017,"{""err"": {""err_type"": ""4"", ""Params"": {""Timestamp"": ""2017-07-28 09:42:20.434427"", ""Switch"": ""43""}, ""Desc"": ""A switch has failed""}}",,,,,log,,/root/log/2017728918_2.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,log,2017728941_4,beats_input_codec_plain_applied,cbdd7784b2d2,cbdd7784b2d2,5.4.1,cbdd7784b2d2,30976,28,,,,,,,,,INFO,"09:42:20,434",err,1,4,2017-07-28 09:42:20.434427,43,A switch has failed
2017-07-28T09:42:52.022Z,07,2017,"{""err"": {""err_type"": ""4"", ""Params"": {""Timestamp"": ""2017-07-28 09:42:48.412392"", ""Switch"": ""68""}, ""Desc"": ""A switch has failed""}}",,,,,log,,/root/log/2017728941_4.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,log,2017728941_4,beats_input_codec_plain_applied,cbdd7784b2d2,cbdd7784b2d2,5.4.1,cbdd7784b2d2,2772,28,,,,,,,,,INFO,"09:42:48,412",err,1,4,2017-07-28 09:42:48.412392,68,A switch has failed
2017-07-28T09:42:56.641Z,07,2017,"{""err"": {""err_type"": ""4"", ""Params"": {""Timestamp"": ""2017-07-28 09:42:53.468294"", ""Switch"": ""65""}, ""Desc"": ""A switch has failed""}}",,,,,log,,/root/log/2017728918_2.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,log,2017728941_4,beats_input_codec_plain_applied,cbdd7784b2d2,cbdd7784b2d2,5.4.1,cbdd7784b2d2,32026,28,,,,,,,,,INFO,"09:42:53,468",err,1,4,2017-07-28 09:42:53.468294,65,A switch has failed
2017-07-28T09:42:59.632Z,07,2017,"{""err"": {""err_type"": ""4"", ""Params"": {""Timestamp"": ""2017-07-28 09:42:58.650365"", ""Switch"": ""72""}, ""Desc"": ""A switch has failed""}}",,,,,log,,/root/log/2017728930_3.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,log,2017728941_4,beats_input_codec_plain_applied,cbdd7784b2d2,cbdd7784b2d2,5.4.1,cbdd7784b2d2,28910,28,,,,,,,,,INFO,"09:42:58,650",err,1,4,2017-07-28 09:42:58.650365,72,A switch has failed
2017-07-28T09:43:16.643Z,07,2017,"{""err"": {""err_type"": ""4"", ""Params"": {""Timestamp"": ""2017-07-28 09:43:14.119602"", ""Switch"": ""6""}, ""Desc"": ""A switch has failed""}}",,,,,log,,/root/log/2017728918_2.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,log,2017728941_4,beats_input_codec_plain_applied,cbdd7784b2d2,cbdd7784b2d2,5.4.1,cbdd7784b2d2,32725,28,,,,,,,,,INFO,"09:43:14,119",err,1,4,2017-07-28 09:43:14.119602,6,A switch has failed
2017-07-28T09:43:19.643Z,07,2017,"{""err"": {""err_type"": ""4"", ""Params"": {""Timestamp"": ""2017-07-28 09:43:19.282055"", ""Switch"": ""70""}, ""Desc"": ""A switch has failed""}}",,,,,log,,/root/log/2017728918_2.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,log,2017728941_4,beats_input_codec_plain_applied,cbdd7784b2d2,cbdd7784b2d2,5.4.1,cbdd7784b2d2,32900,28,,,,,,,,,INFO,"09:43:19,282",err,1,4,2017-07-28 09:43:19.282055,70,A switch has failed
2017-07-28T09:44:13.644Z,07,2017,"{""err"": {""err_type"": ""4"", ""Params"": {""Timestamp"": ""2017-07-28 09:44:10.324133"", ""Switch"": ""48""}, ""Desc"": ""A switch has failed""}}",,,,,log,,/root/log/2017728930_3.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,log,2017728941_4,beats_input_codec_plain_applied,cbdd7784b2d2,cbdd7784b2d2,5.4.1,cbdd7784b2d2,31359,28,,,,,,,,,INFO,"09:44:10,324",err,1,4,2017-07-28 09:44:10.324133,48,A switch has failed
